plan_action,plans/0,actions/0,GotoWaypointAction,actions/0/0,UndispatchedAction,0,9.0,0.0,freddie,"{""from"": ""initial-point"", ""to"": ""fire-safety-board""}"
action_completed,actions/10/3,CompletedAction,actions/10/2,10,rosplan_plan_dispatcher/action_feedback/22
action_dispatched,rosplan_plan_dispatcher/action_dispatch/11,actions/11/1,DispatchedAction,actions/11/0,actions/10/3,11,rosplan_plan_dispatcher/action_dispatch/11
action_received,actions/11/2,actions/11/1,11,rosplan_plan_dispatcher/action_feedback/23,rosplan_plan_dispatcher/action_dispatch/11
action_completed,actions/11/3,CompletedAction,actions/11/2,11,rosplan_plan_dispatcher/action_feedback/24
action_dispatched,rosplan_plan_dispatcher/action_dispatch/12,actions/12/1,DispatchedAction,actions/12/0,actions/11/3,12,rosplan_plan_dispatcher/action_dispatch/12
action_received,actions/12/2,actions/12/1,12,rosplan_plan_dispatcher/action_feedback/25,rosplan_plan_dispatcher/action_dispatch/12
action_completed,actions/12/3,CompletedAction,actions/12/2,12,rosplan_plan_dispatcher/action_feedback/26
action_dispatched,rosplan_plan_dispatcher/action_dispatch/13,actions/13/1,DispatchedAction,actions/13/0,actions/12/3,13,rosplan_plan_dispatcher/action_dispatch/13
action_received,actions/13/2,actions/13/1,13,rosplan_plan_dispatcher/action_feedback/27,rosplan_plan_dispatcher/action_dispatch/13
action_completed,actions/13/3,CompletedAction,actions/13/2,13,rosplan_plan_dispatcher/action_feedback/28
action_dispatched,rosplan_plan_dispatcher/action_dispatch/14,actions/14/1,DispatchedAction,actions/14/0,actions/13/3,14,rosplan_plan_dispatcher/action_dispatch/14
action_received,actions/14/2,actions/14/1,14,rosplan_plan_dispatcher/action_feedback/29,rosplan_plan_dispatcher/action_dispatch/14
action_completed,actions/14/3,CompletedAction,actions/14/2,14,rosplan_plan_dispatcher/action_feedback/30
action_received,actions/15/1,actions/15/0,15,rosplan_plan_dispatcher/action_feedback/31,
action_dispatched,rosplan_plan_dispatcher/action_dispatch/15,actions/15/2,DispatchedAction,actions/15/1,,15,rosplan_plan_dispatcher/action_dispatch/15
action_completed,actions/15/3,CompletedAction,actions/15/2,15,rosplan_plan_dispatcher/action_feedback/32
action_dispatched,rosplan_plan_dispatcher/action_dispatch/16,actions/16/1,DispatchedAction,actions/16/0,actions/15/3,16,rosplan_plan_dispatcher/action_dispatch/16
action_received,actions/16/2,actions/16/1,16,rosplan_plan_dispatcher/action_feedback/33,rosplan_plan_dispatcher/action_dispatch/16
action_completed,actions/16/3,CompletedAction,actions/16/2,16,rosplan_plan_dispatcher/action_feedback/34
action_dispatched,rosplan_plan_dispatcher/action_dispatch/17,actions/17/1,DispatchedAction,actions/17/0,actions/16/3,17,rosplan_plan_dispatcher/action_dispatch/17
action_received,actions/17/2,actions/17/1,17,rosplan_plan_dispatcher/action_feedback/35,rosplan_plan_dispatcher/action_dispatch/17
action_completed,actions/17/3,CompletedAction,actions/17/2,17,rosplan_plan_dispatcher/action_feedback/36
action_dispatched,rosplan_plan_dispatcher/action_dispatch/18,actions/18/1,DispatchedAction,actions/18/0,actions/17/3,18,rosplan_plan_dispatcher/action_dispatch/18
action_received,actions/18/2,actions/18/1,18,rosplan_plan_dispatcher/action_feedback/37,rosplan_plan_dispatcher/action_dispatch/18
action_completed,actions/18/3,CompletedAction,actions/18/2,18,rosplan_plan_dispatcher/action_feedback/38
action_dispatched,rosplan_plan_dispatcher/action_dispatch/19,actions/19/1,DispatchedAction,actions/19/0,actions/18/3,19,rosplan_plan_dispatcher/action_dispatch/19
action_received,actions/19/2,actions/19/1,19,rosplan_plan_dispatcher/action_feedback/39,rosplan_plan_dispatcher/action_dispatch/19
action_completed,actions/19/3,CompletedAction,actions/19/2,19,rosplan_plan_dispatcher/action_feedback/40
action_dispatched,rosplan_plan_dispatcher/action_dispatch/20,actions/20/1,DispatchedAction,actions/20/0,actions/19/3,20,rosplan_plan_dispatcher/action_dispatch/20
action_received,actions/20/2,actions/20/1,20,rosplan_plan_dispatcher/action_feedback/41,rosplan_plan_dispatcher/action_dispatch/20
action_completed,actions/20/3,CompletedAction,actions/20/2,20,rosplan_plan_dispatcher/action_feedback/42
action_dispatched,rosplan_plan_dispatcher/action_dispatch/21,actions/21/1,DispatchedAction,actions/21/0,actions/20/3,21,rosplan_plan_dispatcher/action_dispatch/21
action_received,actions/21/2,actions/21/1,21,rosplan_plan_dispatcher/action_feedback/43,rosplan_plan_dispatcher/action_dispatch/21
action_completed,actions/21/3,CompletedAction,actions/21/2,21,rosplan_plan_dispatcher/action_feedback/44
action_dispatched,rosplan_plan_dispatcher/action_dispatch/22,actions/0/4,ActionBeingCancelled,actions/0/3,actions/21/3,0,rosplan_plan_dispatcher/action_dispatch/22
action_dispatched,rosplan_plan_dispatcher/action_dispatch/23,actions/1/4,ActionBeingCancelled,actions/1/3,actions/21/3,1,rosplan_plan_dispatcher/action_dispatch/23
action_dispatched,rosplan_plan_dispatcher/action_dispatch/25,actions/3/4,ActionBeingCancelled,actions/3/3,actions/21/3,3,rosplan_plan_dispatcher/action_dispatch/25
action_dispatched,rosplan_plan_dispatcher/action_dispatch/26,actions/4/4,ActionBeingCancelled,actions/4/3,actions/21/3,4,rosplan_plan_dispatcher/action_dispatch/26
action_dispatched,rosplan_plan_dispatcher/action_dispatch/43,actions/21/4,ActionBeingCancelled,actions/21/3,actions/21/4,21,rosplan_plan_dispatcher/action_dispatch/43
